CrsID,ProjectNumber,Year,Aid_t,FlowName,DonorName,RecipientName,USD_Commitment_Defl,USD_Disbursement_Defl,SectorName,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,ChannelCode,ParentChannelCode,relevance,check,inclusion,employment,intellectual,education,family,advocacy,disability.subpurpose,disability.concsub
2018002989,0260/A0/05/883/001,2018,C01,ODA Grants,UNICEF,Armenia,0.0490593,0.0490593,"I.1.a. Education, Level Unspecified",Education policy and administrative management,OT3.1. SPECIAL EDUCATION NEEDS,OT3.1. SPECIAL EDUCATION NEEDS,OT3.1. SPECIAL EDUCATION NEEDS.  Armenia,Significant gender component,Not screened,"","",,,Principal,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2014000293008,SCR.CTR.397169,2018,C01,ODA Grants,EU Institutions,Azerbaijan,0,0.384834,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Ensure Teachers Readiness for Inclusive Education,ENSURE TEACHERS READINESS FOR INCLUSIVE EDUCATION,"Overall Objective: Improve teaching capacity and management, pedagogical resources and policies for an inclusive education (IE, hereafter) system in Azerbaijan.   Specific Objectives:  (1)Develop and modernize teacher training curricula, textbooks, courses and educational materials    (2)Improve skills and knowledge of primary education teachers and other professions in support of children with special needs/disabilities   (3)Ensure resource availability for primary education teachers and oth",No gender component,Significant disability component,Developing country-based NGO,Developing country-based NGO,23000,23000,Significant,potential false positive,inclusion,employment,intellectual,education,Not family,Not advocacy,Mixed,"employment, education"
2016001188,QZA-15/0470-30,2018,B01,ODA Grants,Norway,Nepal,,0.0161476,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Equal Rights - full Participation Nepal,EQUAL RIGHTS - FULL PARTICIPATION NEPAL,"Support from DPO to Ministry of Education, lobbying for the rights of children with intellectual disabilities, developing curriculums for children with intellectual disabilities.",No gender component,Principal disability component,Atlas-alliansen,Donor country-based NGO,22000,22000,Principal,No,inclusion,Not employment,intellectual,education,Not family,advocacy,Mixed,"education, advocacy"
2018007043-1,009-122747-A,2018,C01,ODA Grants,Spain,Ecuador,0.0889673,0.0253035,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Ecuador 2018 Inclusive education Bridging the Gap,ECUADOR 2018 INCLUSIVE EDUCATION BRIDGING THE GAP,"Ayuda en especie de cooperación internacional en desarrollo de la Política Exterior del Gobierno a favor de Federación Nacional de Ecuatorianos con Discapacidad Física (FENEDIF), Federación Nacional de Personas Sordas del Ecuador (FENASEC), Federación Nacional de Ciegos del Ecuador (FENCE) y Federación Ecuatoriana Pro Atención a la persona con Discapacidad Intelectual, Autismo, Parálisis Cerebral y Síndrome de Down (FEPAPDEM) para fomentar la educación inclusiva en Ecuador (2018-2021)",No gender component,Principal disability component,Vía AECID,Donor Government,11000,11000,Significant,potential false positive,inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2018004680,3263,2018,B01,ODA Grants,Italy,Honduras,0.0161416,0.0161416,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Institute of Educational psychology  Juana Leclerc,INSTITUTE OF EDUCATIONAL PSYCHOLOGY  JUANA LECLERC,"Instituto Psicopedagogico Juana Leclerc is a nonprofit institution lof Tegucigalpa. The organization runs a model project for inclusive education, labor inclusion and a resource center for training in the region. The programme implemented by CBM IT. focuses on the education of children and youngers with intellectual disabilities. The project will promote opportunities for inclusion in the framework of Human Rights.",Significant gender component,Principal disability component,5X1000,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,employment,intellectual,education,Not family,advocacy,Mixed,"employment, education, advocacy"
2018003712,36_3313,2018,C01,ODA Grants,United States,Peru,,0.048491,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Constructing support networks for the exercise of legal rights of persons with disabilities,CONSTRUCTING SUPPORT NETWORKS FOR THE EXERCISE OF LEGAL RIGHTS OF PERSONS WITH DISABILITIES,Sociedad y Discapacidad (SODIS) will develop a pilot program to test assisted decision-making services for Peruvians with psychiatric and intellectual disabilities. These services should enable these citizens to live independently exercise their legal rights and access other services. SODIS will provide training and technical assistance document the research and disseminate the results. The project will directly benefit 150 persons and an additional 8000 persons indirectly.,No gender component,Not screened,Sociedad y Discapacidad,Donor country-based NGO,22000,22000,Principal,No,inclusion,Not employment,intellectual,Not education,Not family,advocacy,Self-advocacy,advocacy
2018003561-3,009-117546-C,2018,C01,ODA Grants,Spain,Mozambique,0.0209085,0.0123018,"I.1.a. Education, Level Unspecified",Education policy and administrative management,Passport for life For a quality primary school,PASSPORT FOR LIFE FOR A QUALITY PRIMARY SCHOOL,"La propuesta tiene como objetivo general contribuir al fortalecimiento y mejora del derecho a una Enseñanza Básica en Mozambique. Para ello, centra su actuación en el Distrito de Nhlamankulu, uno de los distrititos más poblados y marginados de la capital.En el distrito se han seleccionado cuatro escuelas públicas primarias situadas en dos de los barrios más conflictivos de Maputo, pero muy conocidos por CESAL y por el Socio local, Khandlelo. El objetivo específico es mejorar las dimensiones de calidad y aceptabilidad del derecho humano a la educación a través del desarrollo de programas curriculares e infraestructuras sostenibles en estas escuelas que fomenten unaeducación proactiva, inclusiva y con valores de género y medioambientales, desde un enfoque de derechos humanos y con una gestión participativa en las escuelas. El primer resultado, centrado en la dimensión de aceptabilidad, hace referencia al desarrollo e implementación de dos programas: un programa psicopedagógico que sea capaz de incluir, integrar y de mejorar el rendimiento escolar de las/los alumnos/as con necesidades especiales en cada escuela, y un programa de refuerzo escolar eintegración que contribuirá a una mejor integración de los alumnos/as con necesidades especiales de los últimos cursos de primaria (6º y 7º). Ambos programas incorporan el enfoque de género, medioambiental y de inclusión. El segundo resultado, pretende fortalecer institucionalmente a los Servicios Distritales y a los Consejos Escolares, para un mejor conocimiento de sus funciones y competencias y para la puesta en marcha de una Red Distrital de Consejos Escolares en Nhlamankulu. Este resultado aborda la dimensión de calidad. Por último, el tercer resultado, orientado a la dimensión de participación, instaurará un proceso de gestión transparente, participativa y democrática en la escuela, promoviendo así la identificación y la solución de conflictos de forma consensuada entre los actores. Cada uno de estos resultados contempla incentivar laparticipación de toda la comunidad escolar para una adecuada gestión de la Enseñanza.",Significant gender component,No disability component,CESAL,Donor country-based NGO,22000,22000,Significant,potential false positive,inclusion,Not employment,intellectual,education,family,advocacy,Mixed,"education, family, advocacy"
2018609259,MOFA2018609259,2018,C01,ODA Grants,Japan,Morocco,0.0882234,0.0882234,"I.1.a. Education, Level Unspecified",Education facilities and training,Projet de construction d'un nouvel établissement avec des salles de classe en faveur des enfants à besoins spécifiques de M'haya,PROJET DE CONSTRUCTION D'UN NOUVEL ÉTABLISSEMENT AVEC DES SALLES DE CLASSE EN FAVEUR DES ENFANTS À BESOINS SPÉCIFIQUES DE M'HAYA,"Dans le village M'haya, Meknés, un nouvel établissement avec des salles de classe en faveur des enfants à besoins spécifiques sera construit.",No gender component,No disability component,Developing country-based NGO,Developing country-based NGO,23000,23000,Principal,No,Not inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2018000451,INK504,2018,C01,ODA Grants,Australia,Kiribati,0.0453351,0.0453351,"I.1.a. Education, Level Unspecified",Education facilities and training,Kiribati Disability,KIRIBATI DISABILITY,"The Kiribati Disability initiative aligns with the newly developed Development for All 2015-2020: Strategy for Strengthening Disability Inclusive Development in Australia's Aid Program. The initiative supports a range of activities that focus on inclusive development that is geared to better deliver health and education services to the most vulnerable and excluded individuals, people with disabilities. Activities under the initiative include: core funding support to the School and Centre for Children with Special Needs; the Ministry of Education's inclusive activities; improving disability related services of the Ministry of Health including infrastructural developments to the rehabilitation centre and the mental health facility; and strengthening the Ministry of Women Youth Social Affairs as the lead GoK division in the disability sector. The total value of the initiative is $3m over 5 years, starting 2011-12.",Principal gender component,Principal disability component,Recipient Government,Recipient Government,12000,12000,Principal,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
2018006177-1,009-121081-A,2018,C01,ODA Grants,Spain,Bolivia,0.00329153,0.00329153,"I.1.a. Education, Level Unspecified",Education facilities and training,SAN MARTIN DE PORRES SPECIAL EDUCATION CENTER,SAN MARTIN DE PORRES SPECIAL EDUCATION CENTER,"Título completo del proyecto: CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES :: ACCESIBILIDAD, ADAPTACIÓN Y ADECUACIÓN DE ZONA LAVABOS Y SANITARIOS",No gender component,Principal disability component,Aragonese solidary action,Donor country-based NGO,22000,22000,Principal,No,inclusion,Not employment,intellectual,education,Not family,Not advocacy,Education,education
