CrsID,ProjectNumber,Year,FlowName,DonorName,RecipientName,USD_Disbursement_Defl,PurposeName,ProjectTitle,ShortDescription,LongDescription,Gender,Disability,ChannelReportedName,ChannelName,SubPurpose
2018006423,300236-101,2018,ODA Grants,United Kingdom,Ethiopia,11.3718,Primary education,Financial Assistance for the GEQIP-E Result Based Programme of Improving Learning Outcomes and Equity,FINANCIAL ASSISTANCE FOR THE GEQIP-E RESULT BASED PROGRAMME OF IMPROVING LEARNING OUTCOMES AND EQUITY,"This program aims to effectively contribute to the creation of human capital - vital to drive Ethiopia's industrialization process and realize inclusive growth. It will work to transform education system performance, producing better school leadership, more educated school leavers, especially disadvantaged girls and children from poor communities.  DFID's support is expected to contribute for the result in improved learning outcomes for around 1,035 Million students; half of whom are girls; increased number going to secondary schools.The focuse is on reducing inequalities in education participation and achievement through pre-primary expansion, better education for girls, refugees and up to 24,000 students with special needs.",Principal gender component,Principal disability component,International Bank for Reconstruction and Development,International Bank for Reconstruction and Development,Education
2018000994,NPL-18/0007,2018,ODA Grants,Norway,Nepal,1.0841,Primary education,Inclusive Education - Support to Children with Disabilities,INCLUSIVE EDUCATION - SUPPORT TO CHILDREN WITH DISABILITIES,"Support to UNICEF programme  Making Development Disability Inclusive for Children in Nepal  with a focus on two of the programme's components: 1) Data collection, analysis and evidence genderation; and 2) Education.",Significant gender component,Principal disability component,UNICEF- United Nations Children's Fund,United Nations Children's Fund,Education
2.015E+12,SCR.CTR.377582,2018,ODA Grants,EU Institutions,Sierra Leone,0.435883,Democratic participation and civil society,PEAK! Promoting Education for All in Kono,PEAK! PROMOTING EDUCATION FOR ALL IN KONO,"The overall objective of the action is to promote primary school structures, local actors and communities' ownership in implementing an inclusive education model to all children including vulnerable girls, children with disabilities and special education needs, out of school children and Ebola affected children in Kono district.",Significant gender component,Significant disability component,Donor country-based NGO,Donor country-based NGO,Education
2017010546,ET-2017-032-DO-11120,2018,ODA Grants,Czech Republic,Ethiopia,0.377908,Education facilities and training,"Supporting inclusive education in Dilla and Hossana woredas in SNNPR, Ethipia","SUPPORTING INCLUSIVE EDUCATION IN DILLA AND HOSSANA WOREDAS IN SNNPR, ETHIPIA","Enhancing school capacities in Hossana (Hadiya Zone) and Dille (Gedeo Zone): Increasing the capacity of teaching and primary schools by setting up appropriate pedagogical approaches to children with special needs, developing inclusive education and gender sensitivity training. (This may include training and training of teachers, pedagogical students and possibly other school staff, development of new training strategies, curricula and teaching materials, revision of existing educational materials, and incorporation of inclusive education principles into newly designed documents.)",Significant gender component,Principal disability component,People in Need,Donor country-based NGO,Education
2018000451,INK504,2018,ODA Grants,Australia,Kiribati,0.271693,Human rights,Kiribati Disability,KIRIBATI DISABILITY,"The Kiribati Disability initiative aligns with the newly developed Development for All 2015-2020: Strategy for Strengthening Disability Inclusive Development in Australia's Aid Program. The initiative supports a range of activities that focus on inclusive development that is geared to better deliver health and education services to the most vulnerable and excluded individuals, people with disabilities. Activities under the initiative include: core funding support to the School and Centre for Children with Special Needs; the Ministry of Education's inclusive activities; improving disability related services of the Ministry of Health including infrastructural developments to the rehabilitation centre and the mental health facility; and strengthening the Ministry of Women Youth Social Affairs as the lead GoK division in the disability sector. The total value of the initiative is $3m over 5 years, starting 2011-12.",Principal gender component,Principal disability component,Recipient Government,Recipient Government,Education
2.014E+12,SCR.CTR.377805,2018,ODA Grants,EU Institutions,South Africa,0.244305,Teacher training,"Strengthening teaching for children with profound hearing, visual and intellectual disabilities in South Africa","STRENGTHENING TEACHING FOR CHILDREN WITH PROFOUND HEARING, VISUAL AND INTELLECTUAL DISABILITIES IN SOUTH AFRICA","The specific objective of the action is: Qualified teachers are able to provide quality education for children with profound hearing, visual and intellectual disabilities.",Significant gender component,Principal disability component,Central Government,Central Government,Education
2018067180,2018-67180,2018,Private Development Finance,David & Lucile Packard Foundation,Ethiopia,0.195607,Reproductive health care,Nia Foundation,NIA FOUNDATION,Programme: Population and Reproductive Health. Description: to promote education and service delivery approaches that better meet the sexual and reproductive health needs of autistic youth in Ethiopia.,Principal gender component,Significant disability component,Nia Foundation,Developing country-based NGO,Education
2018000297,FK18/116103N3,2018,ODA Grants,Norway,Malawi,0.079233,Medical education/training,"Peace Corps, FK Norway, personnel exchange","PEACE CORPS, FK NORWAY, PERSONNEL EXCHANGE","Knowledge exchange between Montfort's special education center (Montfort) in Malawi and Briskeby school, to ensure that children with hearing loss are identified by examination in Malawi, thus allowing them to use their residual hearing.",No gender component,Principal disability component,HLF - Hørselshemmedes Landsforbund,Donor country-based NGO,Education
2016160136,57300431,2018,ODA Grants,Finland,Syrian Arab Republic,0.0722248,Medical services,FRC/ICRC/Humanitarian Mine Action in Syria,FRC/ICRC/HUMANITARIAN MINE ACTION IN SYRIA,In Syria the International Committee of the Red Cross (ICRC) organizes education on mines and explosives for staff of the Syrian Arab Red Crescent (SARC) and builds together with SARC a network of volunteers to raise the awareness of risk of mines and explosive remnants of war in local communities. Medical service providers are unable to cope with the constant influx of patients needing emergency care. ICRC will distribute material assistance. ICRC will also continue to help physically disabled people in the rehabilitation centers in Aleppo and Damascus. Rehabilitation Centers will provide also psychosocial support and funds for microeconomic initiatives for the most vulnerable. Beneficiaries of the action are the local population disabled people and SARC as the humanitarian aid provider. Support will be channeled through the Finnish Red Cross. Finland will fund ICRC's humanitarian activities in Syria through FRC with 963 000 euros during 2016-2020.,No gender component,Significant disability component,Finnish Red Cross,Donor country-based NGO,Education
2018003655-2,009-117642-B,2018,ODA Grants,Spain,Morocco,0.0502608,Basic nutrition,Distribution of food products in educational centers for people with disabilities or special needs in the Saharawi camps,DISTRIBUTION OF FOOD PRODUCTS IN EDUCATIONAL CENTERS FOR PEOPLE WITH DISABILITIES OR SPECIAL NEEDS IN THE SAHARAWI CAMPS,distribución de productos alimentarios en centros educativos de personas con discapacidad o necesidades especiales en los campamentos de refugiados saharauis,No gender component,Principal disability component,Red Cross Spain,Donor country-based NGO,Education
