ParentChannelName,RecipientName,2015,2016,2017,2018,2019
,Kenya,47.9535495998,59.294678146472,45.5451345836,47.31737678,54.19780930047
,Uganda,80.79546477475,96.1457162243,75.6889176574207,63.01684445,37.13231473005
,Zambia,34.231838811,36.51767640489,32.347228801469,34.01051972,19.079973076859
Developing country-based NGO ,Kenya,51.39047106,58.51254799,74.142378454,91.3064744114,113.415950662
Developing country-based NGO ,Uganda,42.59061802,56.134002704,63.945147569,39.5766536,50.107123982
Developing country-based NGO ,Zambia,50.4077423742,41.176993647,55.828886517,31.261902542,17.08838907
Donor Government,Kenya,235.49898090562,329.076626678,348.3747241356,348.1862722628,155.762750846518
Donor Government,Uganda,169.861510886,253.0640398229,314.1755563824,287.560896379,151.67411888136
Donor Government,Zambia,117.231371177,228.0304449248,288.3500249464,286.94656931437,116.322758101494
Donor country-based NGO,Kenya,338.77609883,351.7014005934,395.9717176477,343.25867956934,353.8937313571
Donor country-based NGO,Uganda,202.631880747,203.835078752,297.779886084,277.375259163842,264.02756454175
Donor country-based NGO,Zambia,151.87452733846,107.9028847543,140.137896082,154.1829225393,147.979084173494
European Union Institution (EU),Kenya,0,0,0.0594833,0.56696439,5.64652
European Union Institution (EU),Zambia,3.04324,0,0,1.08061,0
INTERNATIONAL NGO,Kenya,130.19477866,126.204686573,132.253331018,132.0280135188,124.3190155121
INTERNATIONAL NGO,Uganda,51.257303878,54.756426373,52.08252432,50.137055735,73.854557083
INTERNATIONAL NGO,Zambia,25.0812795807,71.32838252,101.28506672,47.598524478,49.740295097
International Monetary Fund (IMF),Kenya,0,0,0.12184,0,0.0194767
International Monetary Fund (IMF),Uganda,0,0,0.117154,0,0.0187276
International Monetary Fund (IMF),Zambia,0.266362,0.540695,0.112468,0,0.0179785
MULTILATERAL ORGANISATIONS,Kenya,5.94311,0,8.922307,0,4.19708
MULTILATERAL ORGANISATIONS,Uganda,0,0,0,0.2967511,0
MULTILATERAL ORGANISATIONS,Zambia,3.09193,0,0.676763,0.677411,1.31385
NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY ,Kenya,13.6936861368,8.087534218,5.108571792,1.82093354,0.19781748
NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY ,Uganda,1.6226456785971,4.1991674513,0.5471979509,18.736849214,9.140755
NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY ,Zambia,0.5885911264,0.444696078468,0.06878605,32.614346355,27.9710158
Network,Kenya,0.500423697,0.37370015,4.62793126,4.483956388,6.32009739
Network,Uganda,1.40950497,1.57584135,6.28348386,6.178760708,6.5826373
Network,Zambia,0.094271645,0.1000817,0.0408481,0.671934,2.7825575
Other,Kenya,260.40675070505,71.1923791416,15.611578696,3.74858071,7.70144027
Other,Uganda,189.1598967361,42.873594355,5.357112655,4.6782225103,7.1504713655
Other,Zambia,107.80073799878,33.0260565025,2.732504432,5.8613203227,3.000793023
Other multilateral institution,Kenya,15.5878504,18.71149548,20.87934372,25.2391574,30.55122418
Other multilateral institution,Uganda,10.1789142,12.362974,15.78836278,14.6005529,12.6304901
Other multilateral institution,Zambia,11.88552936,1.655731,2.8517022,1.005116,2.2581199
PUBLIC SECTOR INSTITUTIONS,Kenya,48.586384566,2.346613732,1.3931942,1.2087581,1.58578406
PUBLIC SECTOR INSTITUTIONS,Uganda,47.395347544,1.144876862,0.1486796,2.2992288,1.47704
PUBLIC SECTOR INSTITUTIONS,Zambia,34.456498355,0.0165939,0,0.29640919,0.228271
PUBLIC-PRIVATE PARTNERSHIPS (PPPs) and NETWORKS,Kenya,0.0121247,0,0,0,0
PUBLIC-PRIVATE PARTNERSHIPS (PPPs) and NETWORKS,Uganda,0,0,0,0.00338723,0
Private sector in provider country,Kenya,0.0358899,54.95625407635,121.4837081242,110.5244853753,120.08173819574
Private sector in provider country,Uganda,0,91.6600606307,132.3717014586,172.972366446,235.361928828194
Private sector in provider country,Zambia,0,57.0741921108,76.379783989,69.075864747,89.59312379815
Private sector in recipient country,Kenya,0.0843567,56.9645832081,39.8533655168,39.656392238,67.465892219
Private sector in recipient country,Uganda,0.0843567,44.7766953826,57.9358872146,41.07290188,35.0110262271
Private sector in recipient country,Zambia,0.1520814,11.310655515,15.7761868026,16.18963499,24.73808160215
Private sector in third country,Kenya,0,5.96783075,3.442289,8.4084275,8.49587201
Private sector in third country,Uganda,0,2.0598525,2.3557153,3.2478544,0.9565939
Private sector in third country,Zambia,0,0.0291786,1.746456,2.816648284,2.76967349
Private sector institution,Kenya,0,0.864183371,8.12419071,5.23588396,2.8724646294
Private sector institution,Uganda,0,0.3369741,7.07843668,1.185005319,0.41182598
Private sector institution,Zambia,0,0.2975351,0.967924542,0.5968842,0.329861098
Public-Private Partnership (PPP),Kenya,6.4198853,3.5444129,4.0378791,3.0515104,5.6719843
Public-Private Partnership (PPP),Uganda,1.50301729,1.457760671,4.12348649,4.270102,2.4554289
Public-Private Partnership (PPP),Zambia,0,0.3150829,8.71041,1.1031975,10.8221722
Recipient Government,Kenya,1378.26654553054,1270.829995784,1496.53655910409,1565.432305295,2321.08740612012
Recipient Government,Uganda,720.79892401773,731.566585756,710.733298404772,724.271344411,892.168420338
Recipient Government,Zambia,288.874404693459,435.310136953974,365.320787376112,335.449827511,398.672135857
Regional Development Bank,Kenya,4.54969,1.375674,8.203058,2.635403,7.41903
Regional Development Bank,Uganda,10.81481,2.070841,6.47364,2.56397,6.63368
Regional Development Bank,Zambia,1.99633,1.7339032,8.66035,9.7561942,0
Third Country Government (Delegated co-operation),Kenya,15.0661422,5.234965,19.4094699,8.17717209,7.52437897
Third Country Government (Delegated co-operation),Uganda,57.839354,50.97491474,32.68974039,34.3033678,27.127362255
Third Country Government (Delegated co-operation),Zambia,4.2836812,8.919251,7.843192,7.9689752,1.554511
"United Nations agency, fund or commission (UN)",Kenya,329.205749807,250.523292319,289.51824256,247.4848992288,308.233500561
"United Nations agency, fund or commission (UN)",Uganda,166.657466271172,239.944933115,351.665796831683,306.9399100633,451.020564875
"United Nations agency, fund or commission (UN)",Zambia,82.499654706,84.378645169,67.1101791104207,60.419356072,120.536251615
"University, college or other teaching institution, research institute or think‑tank",Kenya,64.0891457498,87.462052345,118.3952102794,125.71296841067,123.2727496772
"University, college or other teaching institution, research institute or think‑tank",Uganda,72.7834076037,78.45375879658,103.2858803309,93.5805882527,83.139265427
"University, college or other teaching institution, research institute or think‑tank",Zambia,20.4430686508,13.48129886,18.64577768,21.510690431,21.675884387494
World Bank Group (WB),Kenya,26.923753133,17.80125714,19.9129975,25.3950401,50.6602748757
World Bank Group (WB),Uganda,6.4281854,1.775062,16.6900816,11.115676,19.0700743
World Bank Group (WB),Zambia,12.6386592,1.612461,19.7354265,16.8174863,5.66850741
World Trade Organisation,Kenya,0,0.104313,0.100788,0,0
