DonorName,RecipientName,2015,2016,2017,2018,2019
Australia,Kenya,2.3070394,0.1372904,0.002626602,0.183910168,0
Australia,Uganda,1.2966753,0.30132231,0.061358612,0.10631292,0.0477011
Australia,Zambia,0.5903204,0.0134343,0.000221428,0.113006808,0
Austria,Kenya,0.0182218,0.04590994,0.0420554,0.0118022,0.0232276
Austria,Uganda,0.0246816,0.1160916,0.0295668,0.0295055,2.2396304
Austria,Zambia,0,0,0,0.0313938,0.0249697
Belgium,Kenya,0,0,0,4.58727,3.3723
Belgium,Uganda,1.0649114,2.9770466,0,6.161582,5.278858
Belgium,Zambia,0,0,0,1.25875,1.20013
Bill & Melinda Gates Foundation,Kenya,0.655939,0.512522,0.588736,0.76762,0.3566284
Bill & Melinda Gates Foundation,Uganda,0.655939,0.512522,0.992972,0.235026,0.179753
Bill & Melinda Gates Foundation,Zambia,0.655939,0.512522,0.193619,0,0.0599176
Canada,Kenya,1.5178367,2.32731,5.33353573,0.113989,11.3837641632
Canada,Uganda,2.0270056,0.36278447,0.94865334,0.16723727,3.39518308
Canada,Zambia,0.369773,0,0.05758,0,0.7076102
Central Emergency Response Fund,Kenya,0,0,0,0,0.254984
Charity Projects Ltd (Comic Relief),Kenya,1.521765,0.242342,0.3969464,0.237306,0.2132286
Charity Projects Ltd (Comic Relief),Uganda,1.9310399,0,0.5369163,0.5413994,0.6547021
Charity Projects Ltd (Comic Relief),Zambia,0,0,0.0218384,0.02393329,0.02262113
Conrad N. Hilton Foundation,Zambia,0,0,0,0,0.217622
Czech Republic,Zambia,0,0.0194847,0,0.131156,0.4489582
David & Lucile Packard Foundation,Kenya,0,0,0.51218,0,0
EU Institutions,Kenya,2.9981879,0.839644,1.2749991,4.739015,8.03081436
EU Institutions,Uganda,0.315523,0.62829,0.4601486,0.8881148,15.02314403
EU Institutions,Zambia,24.79769214,20.4091894,8.6717553,1.8205709,3.80248529
Estonia,Kenya,0.0234269,0.00384047,0.014801,0.010622,0.00228312
Estonia,Uganda,0.0234269,0.00384047,0.014801,0.010622,0.03310522
Finland,Kenya,5.308674137,5.39802272,1.854469578,1.633691,2.92751275
Finland,Uganda,2.043521847,1.135744087,2.191476174,2.632272389,1.931226687
Finland,Zambia,1.18479742,2.963710691,4.679218422,1.994022042,0.293837138
Food and Agriculture Organisation,Uganda,0,0,0,0.06576,0.0195998
Ford Foundation,Kenya,0,0,0.0307308,0.255,0.2767125
Ford Foundation,Zambia,0,0,0,0.0234,0.0113969
France,Kenya,0,0,0,0.06129349,0.14875857
France,Uganda,0,0,0.356866,0,0
Germany,Kenya,0.1288991,0.2836813,0.39347403,4.5598079,3.6416401
Germany,Uganda,0.238865,1.8115224,0.602299,0.2760799,0.14544595
Germany,Zambia,0.0159244,0.0704615,0.0599046,0,0
Global Alliance for Vaccines and Immunization,Kenya,0,0,0,2.40996,0
Global Alliance for Vaccines and Immunization,Uganda,0,5.8727,0,0,0
Global Fund,Kenya,0,0,0,32.8766,18.57722
Global Green Growth Institute,Uganda,0,0,0,1.03187,0
Grameen Crédit Agricole Foundation,Kenya,0,0,0.548977,0.638203,2.342
H&M Foundation,Uganda,0,0,0,0.575348,0.559617
Hungary,Uganda,0,0,0,0,1.34627
Iceland,Kenya,0,0,0.075806,0,0
Iceland,Uganda,0,0.0952101,0,5.1789028,4.958882
International Development Association,Kenya,5.34639,0,-0.2275,0,0
International Development Association,Uganda,0,0,0,0,0
International Labour Organisation,Kenya,0,0,0.0453302,0.058338,0.42127406
International Labour Organisation,Uganda,0,0.00498321,0.00537709,0,0
International Labour Organisation,Zambia,0.0253845,0.03140483,0.02140416,0.257604402,1.283883712
Ireland,Kenya,0.6741564,0.8909705,0.2666727,0.5820111,0.87871976
Ireland,Uganda,0.0949085,0.178922,0.17283316,0,0.8147665
Ireland,Zambia,0.205105,0,0.19271751,0.777558,0.1869808
Italy,Kenya,0.61959117,0.82938623,1.83944287,2.107687638,3.10543803
Italy,Uganda,0.02540141,0.4143582,0.0300934,0.0176677,2.292466128
Italy,Zambia,0.00597965,0.0137957,0,0,0
Japan,Kenya,0.1578551,0,0.0802187,0,0.0676609
Japan,Uganda,0.4101394,0.451371,0.517476,0.172665,3.664033
Japan,Zambia,0.1741241,0.018967,0.3567916,0,0.0438621
Korea,Kenya,0,0,1.2252631,1.564178,0.115193
Korea,Uganda,0,0,0.0547937,4.292593,1.581265
Korea,Zambia,0,0.0746809,0.0253741,0.051144,0.0352862
Luxembourg,Kenya,0,0.110153,0,0,0
MasterCard Foundation,Kenya,0,0,0,0.025,0
Netherlands,Kenya,0,0,0.805106,0.855008,0.735992
Netherlands,Uganda,0,0,0.251881,0.36143,7.26025
Norway,Kenya,0.266362,0.27981,0,0.1240842,0.0272011
Norway,Uganda,4.3553356,3.711539,3.465384753,3.92533086,6.45258448
Norway,Zambia,1.2273441,2.44588795,2.792474643,2.8587,2.8983452
Poland,Kenya,0,0,0.223944,0.386378,0.188434
Poland,Uganda,0,0,0,0,0.29151573
Rockefeller Foundation,Kenya,0,0,0,0.6,0.602436
Rockefeller Foundation,Zambia,0,0,0,0.25058,0.171936
Slovak Republic,Kenya,0.14310136,0.378040476,0.266840692,0.22041,0.035407826
Slovak Republic,Uganda,0,0,0,0.0034,0.000575403
Spain,Kenya,0,0,0.0143175,0.1799454,0.07387742
Spain,Uganda,0,0,0,0.08537723,0
Spain,Zambia,0.00109216,0,0,0,0
Sweden,Kenya,0,11.170033,16.5007655,17.2833478,23.6714972
Sweden,Uganda,1.03570906,4.99761167,3.6804315,17.5427105,26.189994
Sweden,Zambia,0,7.56679,10.532056,5.3049164,6.0274437
Swedish Postcode Lottery,Uganda,0,0,0,1.12285,0
Switzerland,Kenya,0,0,0,0.30995097,2.47731904
Switzerland,Uganda,0,0,0,0.0151733,0.08531581
Switzerland,Zambia,0,0,0,0.2039135,0.06819986
UNAIDS,Zambia,0,0,0,0,0.000265036
UNFPA,Uganda,0,0.00316879,0,0,0
UNFPA,Zambia,0,0.0729907,0.080008196,0,0.033538102
United Arab Emirates,Kenya,0,0,0,0.00568,0
United Arab Emirates,Uganda,0,0,0.306369,1.09399,0.262143
United Kingdom,Kenya,13.9632946,5.16139956,8.369587,41.7790411,85.29545468
United Kingdom,Uganda,4.74448424,4.3127513,16.7043065,94.45854677,131.6014884048
United Kingdom,Zambia,0,1.342585,5.390196,26.25964564,52.02348745
United States,Kenya,17.4510431,11.40885079,34.742855,42.57112,65.45246136
United States,Uganda,8.8462316,23.99035234,49.109762,32.69867,36.49928966
United States,Zambia,2.051084707,2.26284017,19.31029796,5.25497,1.3138343
Wellcome Trust,Kenya,0,0,0,0.0981939,0
Wellcome Trust,Uganda,0,0,0,0,2.48528
William & Flora Hewlett Foundation,Kenya,0,0,0,0,0.368435
William & Flora Hewlett Foundation,Uganda,0,0,0,0,0.368435
World Health Organisation,Kenya,0.0059965,0,0,0.00100784,0.0122483
World Health Organisation,Zambia,0.00138064,0,0,0.00284981,0.00376251
