DonorName,RecipientName,2015,2016,2017,2018,2019
Adaptation Fund,Kenya,0,0,0,3.95418,0
Adaptation Fund,Uganda,0,1.59039,0,0,2.44648
African Development Bank,Kenya,0,0,0,0.422103,0.825059
African Development Bank,Uganda,0.0422339,0.133243,0,0,0
African Development Bank,Zambia,0.00579888,0.1804664,0.259924,1.6593141,0.6018223
African Development Fund,Kenya,273.6435784,210.127852,207.391455,189.3287008,90.2272213
African Development Fund,Uganda,118.2058898,136.35115352,78.0220498,111.670168,87.6951308
African Development Fund,Zambia,65.0124,36.3161199,25.0733213,19.347932,36.407336
Arab Bank for Economic Development in Africa,Kenya,1.4776653,0,0,0,0
Arab Bank for Economic Development in Africa,Uganda,8.5220716,0,0,0,0
Arab Bank for Economic Development in Africa,Zambia,4.01787,0,0,0,0
Arcus Foundation,Kenya,0.4349645,0.2687409,0.2632605,0.2235316,0.48863128
Arcus Foundation,Uganda,0.2847037,0.4832125,0.4072883,0.2955953,0.3783269
Arcus Foundation,Zambia,0,0,0.1246646,0.065,0.11162276
Australia,Kenya,8.1964785246,2.7590889125,7.631287346,2.67993432003,2.094533409
Australia,Uganda,3.9552305408,1.4848804405,7.2144746939,1.0891273825,0.939398703
Australia,Zambia,3.1153104646,1.3833254655,3.771784298,1.9368896723,1.18069162
Austria,Kenya,3.16478144,2.41414394,7.145666134,7.986391567,3.671661857
Austria,Uganda,11.85296631,12.96593834,15.253039884,8.166940768,15.543420959
Austria,Zambia,0.0356089,0.03025868,0.3233966,0.29395002,0.2384709
Belgium,Kenya,14.21564135,21.60878928,26.271155346,18.584599522,13.62001079
Belgium,Uganda,18.777151173,20.27217846,23.74460174,26.13539377,35.32456506
Belgium,Zambia,1.4379913,1.81855003,1.34161161,1.31890814,1.25992529
Bill & Melinda Gates Foundation,Kenya,55.840710357,43.563427109,49.1232002,69.02602178,68.58688354
Bill & Melinda Gates Foundation,Uganda,37.500589089,48.49874122,35.7053035,42.15043239,31.15408042
Bill & Melinda Gates Foundation,Zambia,17.550015155,21.9982323,22.49419938,14.0358295,16.648183126
Canada,Kenya,36.201361019,40.234715446,33.7354069131,36.48427914458,37.7276331339
Canada,Uganda,9.034955041,6.3681884019,19.01711132,15.552762597742,14.080334899
Canada,Zambia,2.9040575,1.41199379,1.972791067,4.248187754,3.990088717
Central Emergency Response Fund,Kenya,0,0,10.763848,4.94551,8.163702
Central Emergency Response Fund,Uganda,0,0,15.617231,23.0868,22.728183
Central Emergency Response Fund,Zambia,0,0,0,6.55978,8.143393
Charity Projects Ltd (Comic Relief),Kenya,8.31916927,1.22046551,3.37805302,2.130595538,3.100684513
Charity Projects Ltd (Comic Relief),Uganda,8.63452195,0.69884665,4.818236818,4.095852333,6.051875011
Charity Projects Ltd (Comic Relief),Zambia,3.5550552,0,1.20456724,0.86733853,1.970705279
Children's Investment Fund Foundation,Kenya,0,0,17.11052347,13.7432382,12.96565582
Children's Investment Fund Foundation,Uganda,0,0,4.23516,3.067004,0.164559
Citi Foundation,Kenya,0,0,0,0,0.7497365
Citi Foundation,Uganda,0,0,0,0.075,0.2666771
Citi Foundation,Zambia,0,0,0,0,0.1193028
Climate Investment Funds,Kenya,4.54969,1.375674,3.410688,2.078459,0
Climate Investment Funds,Uganda,0,0.295971,0,0,0
Climate Investment Funds,Zambia,1.99633,0.4170632,13.276254,15.01591,0
Conrad N. Hilton Foundation,Kenya,3.5087141,3.2908511,2.7263021,4.6326,2.605474
Conrad N. Hilton Foundation,Uganda,0.147624,1.7689895,2.375061,2.95649,3.4368215
Conrad N. Hilton Foundation,Zambia,1.8801001,1.7015739,2.2537436,2.1355,2.6210959
Croatia,Kenya,0,0,0.00390374,0,0
