ParentChannelName,RecipientName,2015,2016,2017,2018,2019
,Kenya,0.0059965,0,0,0,0
,Zambia,0.00138064,0,0,0.00284981,0
Developing country-based NGO ,Kenya,0,0,0.0307308,0.035,0.0725984
Developing country-based NGO ,Uganda,0,0,0,0,0.00646835
Donor Government,Kenya,0,0,0,0.328224,0.324152
Donor Government,Uganda,0,0,0,0,0.0637706
Donor Government,Zambia,0,0.1202277,0.1181358,0.074353812,0
Donor country-based NGO,Kenya,0.813403997,1.16980836,1.80234781,4.013817,2.269507656
Donor country-based NGO,Uganda,0.513722101,0.2284457,0.110381897,3.047574488,2.8494143
Donor country-based NGO,Zambia,0.0184259,0,0.000300161,0.0313938,0.0249697
INTERNATIONAL NGO,Kenya,0,0.0740139,0.132224,0.1,0
INTERNATIONAL NGO,Uganda,0,0,0.356866,0,0.0640758
INTERNATIONAL NGO,Zambia,0,0,0,0.032014,0.217622
NON-GOVERNMENTAL ORGANISATIONS (NGOs) AND CIVIL SOCIETY ,Zambia,0,0,0,0,0.223096
Recipient Government,Uganda,0,0,0,0,0.00692462
"United Nations agency, fund or commission (UN)",Kenya,0.0287656,0.521827,0,0,0.0122483
"United Nations agency, fund or commission (UN)",Uganda,0.0339441,0,0,0,0
"United Nations agency, fund or commission (UN)",Zambia,0,0,0,0,0.00376251
"University, college or other teaching institution, research institute or think‑tank",Kenya,0.0180513,0.00196656,0,0.1981939,0
"University, college or other teaching institution, research institute or think‑tank",Uganda,0.30253726,0.556995,0.265406,0.352246,2.6428
