DonorName,RecipientName,2015,2016,2017,2018,2019
Australia,Zambia,0,0,0,0.032014,0
Austria,Zambia,0,0,0,0.0313938,0.0249697
Belgium,Uganda,0.0111614,0.0115796,0,1.65231,0
Bill & Melinda Gates Foundation,Kenya,0,0,0,0.2,0
Charity Projects Ltd (Comic Relief),Kenya,0,0,0,0,0.0725984
Charity Projects Ltd (Comic Relief),Uganda,0,0,0,0.130309,0.19581815
Conrad N. Hilton Foundation,Zambia,0,0,0,0,0.217622
Czech Republic,Zambia,0,0,0,0,0.223096
EU Institutions,Uganda,0,0,0,0.566505,1.67304
Finland,Kenya,0.289327197,0.00230497,0.00118618,0,0.08093144
Finland,Uganda,0.382697701,0,0.016755997,0.583674688,0.6482482
Finland,Zambia,0.0184259,0.1202277,0.118435961,0.074353812,0
Ford Foundation,Kenya,0,0,0.0307308,0.035,0
France,Uganda,0,0,0.356866,0,0
Germany,Kenya,0.0783968,0.1401965,0.08782023,0.176207,0.0309194
Germany,Uganda,0,0,0,0.0116325,0
Iceland,Uganda,0,0.0952101,0,0,0
Italy,Kenya,0,0.0179819,0,0,0
Norway,Kenya,0,0,0,0,0
Norway,Uganda,0.415693,0.678651,0.3590319,0.4407546,0.489301
Slovak Republic,Kenya,0,0,0,0.00116,0.000277426
Spain,Kenya,0,0,0.0143175,0,0
Spain,Uganda,0,0,0,0.0146347,0
Sweden,Uganda,0.00670726,0,0,0,0
Switzerland,Uganda,0,0,0,0,0.0710711
United Kingdom,Kenya,0.0180513,0.00196656,0,0.328224,0.324152
United Kingdom,Uganda,0,0,0,0,0.0637706
United States,Kenya,0.4744456,1.60516589,1.8312479,3.83645,2.15737939
United States,Uganda,0.0339441,0,0,0,0.00692462
Wellcome Trust,Kenya,0,0,0,0.0981939,0
Wellcome Trust,Uganda,0,0,0,0,2.48528
World Health Organisation,Kenya,0.0059965,0,0,0,0.0122483
World Health Organisation,Zambia,0.00138064,0,0,0.00284981,0.00376251
