SectorName,relevance,2014,2015,2016,2017,2018,SectorID,SectorTopLevel
Administrative Costs of Donors,Significant,0,0,3.60185,0.0232663,0.22556512,Administrative Costs of Donors,Administrative Costs of Donors
"Education, Level Unspecified",Principal,6.031439125,8.532502989,8.53938196,10.28400368,16.5141882563,I.1.a,Education
"Education, Level Unspecified",Significant,25.55542172,30.83900179,15.869791224,37.3606809,30.373820294,I.1.a,Education
Basic Education,Principal,3.78306517,4.442138644,5.127983323,6.144820887,10.006312973,I.1.b,Education
Basic Education,Significant,25.888706841,36.0853756,39.25636843,32.82413777,71.890515987,I.1.b,Education
Secondary Education,Principal,1.12055422,0.749190537,1.224508141,1.296907903,2.1527793752,I.1.c,Education
Secondary Education,Significant,7.62746805,7.59075219,4.43396611,21.65319338,28.57474573,I.1.c,Education
Post-Secondary Education,Principal,0.8182192,0.3581474,0.58302716,0.45395724,0.3579158,I.1.d,Education
Post-Secondary Education,Significant,0.658098868,3.149144535,1.938709881,2.7525194,3.86899221,I.1.d,Education
"Health, General",Principal,9.168430272,9.000264911,12.824630028,12.2112667088,8.3492900203,I.2.a,Health
"Health, General",Significant,12.92848083,8.842281463,8.38909912,13.269813402,21.7083257922,I.2.a,Health
Basic Health,Principal,7.43696613,5.677269638,8.89030891,7.5942345,11.59773452,I.2.b,Health
Basic Health,Significant,63.943649943,76.4368039,74.3281361,89.967111932,58.239625793,I.2.b,Health
Non-communicable diseases (NCDs),Principal,0,0,0,0,0.93191446,I.2.c,Health
Non-communicable diseases (NCDs),Significant,0,0,0,0,0.8580367,I.2.c,Health
Population Policies/Programmes & Reproductive Health,Principal,0.150073,0.2527498,1.33200366,1.10022248,2.17766808,I.3,Population Policies/Programmes & Reproductive Health
Population Policies/Programmes & Reproductive Health,Significant,15.116007,31.91580017,26.0985591,64.38362613,79.331504059,I.3,Population Policies/Programmes & Reproductive Health
Water Supply & Sanitation,Principal,0,0,0,0,0.0686702,I.4,Water Supply & Sanitation
Water Supply & Sanitation,Significant,15.70948856,14.299536979,9.97943481,12.56029192,7.44337083,I.4,Water Supply & Sanitation
Government & Civil Society-general,Principal,28.44915051179,33.467252038,27.835898758,38.289384231,44.1660033444,I.5.a,Government & Civil Society
Government & Civil Society-general,Significant,132.846754299,141.635624284,160.05382443,183.256922734,227.408914759,I.5.a,Government & Civil Society
"Conflict, Peace & Security",Principal,2.0175248,0.5542129,2.341838,1.4726982,0.1071667,I.5.b,Government & Civil Society
"Conflict, Peace & Security",Significant,7.724128,11.24293596615,11.932174917,14.51357024,18.1040587,I.5.b,Government & Civil Society
Other Social Infrastructure & Services,Principal,23.370796827,26.635008595,21.174345948,18.951091986,20.163675166,I.6,Other Social Infrastructure & Services
Other Social Infrastructure & Services,Significant,54.8931495163,56.130626404,46.8451207834,54.838982513,92.844371829,I.6,Other Social Infrastructure & Services
Transport & Storage,Principal,0.22846781,0.296823,0,0,0.28207624,II.1,Transport & Storage
Transport & Storage,Significant,3.6677195,0.120382,2.402090427,0.18010798,0.353551,II.1,Transport & Storage
